Prodi,Nilai UTBK
Biologi,582
Administrasi Negara,585
Akuntansi,635
Bisnis Digital,573
Desain Grafis,552
Desain Komunikasi Visual,587
Ekonomi,582
Ekonomi IsLam,584
Fisika,557
Gizi,642
Ilmu Administrasi Negara,612
Ilmu Hukum,643
Ilmu Keolahragaan,553
Ilmu Komunikasi,644
Kepelatihan Olahraga,519
Kimia,576
Kurikulum Dan Teknologi Pendidikan,575
Manajemen,669
Manajemen Informatika,572
Manajemen Pendidikan,580
Matematika,579
P. Bahasa Daerah (Jawa),577
P. Bahasa Dan Sastra Indonesia,591
P. Bahasa Inggris,589
P. Bahasa Jepang,578
P. Bahasa Jerman,534
P. Ekonomi,564
P. Geografi,575
P. Sendratasik,537
P. Seni Rupa,553
Pend. Adm. Perkantoran,592
Pend. Akuntansi,571
Pend. Bahasa Mandarin,555
Pend. Biologi,584
Pend. Fisika,560
Pend. Ilmu Pengetahuan Sosial,578
Pend. Jasmani dan Kesehatan Dan Rekreasi,582
Pend. Kepelatihan Olahraga,576
Pend. Kimia,558
Pend. Matematika,587
Pend. Pancasila Dan Kewarganegaraan,576
Pend. Sains,585
Pend. Sejarah,578
Pend. Tata Boga,588
Pend. Tata Busana,589
Pend. Tata Niaga,574
Pend. Tata Rias,581
Pend. Teknik Bangunan,537
Pend. Teknik Elektro,547
Pend. Teknik Mesin,552
Pendi. Luar Biasa,574
Pendidikan Luar Sekolah,537
Pendidikan Teknologi Informasi,572
PG-PAUD,577
PGSD,675
Psikologi,671
Psikologi Pendidikan Dan Bimbingan,592
Sastra Indonesia,576
Sastra Inggris,593
Sastra Jerman,551
Seni Musik,543
Seni Rupa Murni,532
Sistem Informasi,587
Sosiologi,589
Tata Boga,577
Tata Busana,559
Teknik Elektro,577
Teknik Informatika,605
Teknik Listrik,647
Teknik Mesin (S1),580
Teknik Mesin (D4),548
Teknik Sipil (S1),589
Teknik Sipil (D4),555
Transportasi,534
